;;;;;;;;
Franklin Resources, Inc.;акции;BEN_SPB;0.4;;нет;нет;нет;да
Ferrari N.V.;акции;RACE_SPB;0.4;;нет;нет;нет;да
Twitter, Inc.;акции;TWTR_SPB;0.4;;нет;нет;нет;да
Alcoa Corporation;акции;AA_SPB;0.4;;нет;нет;нет;да
General Electric Company;акции;GE_SPB;0.4;;нет;нет;нет;да
Energy Transfer LP;акции;ET_SPB;0.5;;нет;нет;нет;да
Apache Corporation;акции;APA_SPB;0.5;;нет;нет;нет;да
Alibaba Group Holding Limited;акции;BABA_SPB;0.36;;нет;нет;нет;да
Carnival Corporation;акции;CCL_SPB;0.5;;нет;нет;нет;да
Electronic Arts Inc.;акции;EA_SPB;0.35;;нет;нет;нет;да
